ImageKey,SectionName,ImageURL,AltText,Status,Notes
homeHero,Homepage hero,assets/images/hero-academy.jpg,Pranavam Academy online and offline programs,Active,Replace ImageURL with a public HTTPS image URL to control from backend
onlineYoga,Online Yoga program card,assets/images/online-yoga.jpg,Online yoga class with live students,Active,Replace ImageURL with a public HTTPS image URL to control from backend
karate,Karate section,assets/images/karate.jpg,Karate class at Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
dance,Dance section,assets/images/dance.jpg,Dance class at Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
music,Music section,assets/images/music.jpg,Music class at Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
drawing,Drawing section,assets/images/drawing.jpg,Drawing and art class at Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
teachWithUs,Teach With Us section,assets/images/teach-with-us.jpg,Teacher guiding students at Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
yogaAccessible,Yoga Accessible to All,assets/images/yoga-accessible.jpg,Yoga accessible to all group session,Active,Replace ImageURL with a public HTTPS image URL to control from backend
referFriend,Refer a Friend,assets/images/refer-friend.jpg,Friends learning together at Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
yogaHero,Yoga page hero,assets/images/online-yoga.jpg,Pranavam online yoga class,Active,Replace ImageURL with a public HTTPS image URL to control from backend
groupYoga,Group Yoga card,assets/images/online-yoga.jpg,Online group yoga class,Active,Replace ImageURL with a public HTTPS image URL to control from backend
corporateYoga,Corporate Yoga page/card,assets/images/yoga-accessible.jpg,Corporate wellness yoga session,Active,Replace ImageURL with a public HTTPS image URL to control from backend
therapeuticYoga,Therapeutic Yoga card,assets/images/yoga-accessible.jpg,Therapeutic yoga support session,Active,Replace ImageURL with a public HTTPS image URL to control from backend
yogaWorldPeace,Yoga for World Peace section,assets/images/yoga-accessible.jpg,Yoga for world peace,Active,Replace ImageURL with a public HTTPS image URL to control from backend
offlineHero,Offline classes page hero,assets/images/hero-academy.jpg,Offline programs at Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
packagesHero,Packages page hero,assets/images/teach-with-us.jpg,Pranavam Academy packages discussion,Active,Replace ImageURL with a public HTTPS image URL to control from backend
registerHero,Register page hero,assets/images/refer-friend.jpg,Register for Pranavam Academy classes,Active,Replace ImageURL with a public HTTPS image URL to control from backend
teacherHero,Teacher page hero,assets/images/teach-with-us.jpg,Teach with Pranavam Academy,Active,Replace ImageURL with a public HTTPS image URL to control from backend
