MenuID,ParentID,MenuName,PageLink,SortOrder,Status,OpenType,Notes
MENU001,,Home,index.html,1,Active,Same,
MENU002,,Online Programs,#,2,Active,Same,
MENU003,MENU002,Online Yoga,yoga.html,1,Active,Same,
MENU004,MENU002,Online Group Yoga,online-group-yoga.html,2,Active,Same,
MENU005,MENU002,Corporate Chair Yoga,corporate-chair-yoga.html,3,Active,Same,
MENU006,MENU002,Therapeutic Yoga,therapeutic-yoga.html,4,Active,Same,
MENU007,MENU002,Online Karate,online-karate.html,5,Active,Same,
MENU008,MENU002,Online Dance,online-dance.html,6,Active,Same,
MENU009,MENU002,Online Music,online-music.html,7,Active,Same,
MENU010,MENU002,Online Drawing,online-drawing.html,8,Active,Same,
MENU011,,Offline Programs,#,3,Active,Same,
MENU012,MENU011,Yoga,offline-classes.html#yoga,1,Active,Same,
MENU013,MENU011,Karate,offline-classes.html#karate,2,Active,Same,
MENU014,MENU011,Dance,offline-classes.html#dance,3,Active,Same,
MENU015,MENU011,Music,offline-classes.html#music,4,Active,Same,
MENU016,MENU011,Drawing,offline-classes.html#drawing,5,Active,Same,
MENU017,,Packages,packages.html,4,Active,Same,
MENU018,,Register,register.html,5,Active,Same,
MENU019,,Teach With Us,become-a-teacher.html,6,Active,Same,
MENU020,,Shopping,https://www.freshly-online.com/freshlymart/#wellness,99,Active,New,Freshly Mart wellness products
